Name,height,games,minutes,age,point,assist,rebound,fieldgoal,freethrow,Spoint
R. Miller,201,82,2954,28,21.2,3.2,3.1,47.9,88,0.588490183
M. Jordan,198,78,3067,30,32.6,5.5,6.7,49.5,83.7,0.829083795
D. West,198,80,3104,26,19.3,2.9,3.1,51.7,84.1,0.49742268
J. Dumars,191,76,3094,30,23.5,4,1.9,46.6,86.4,0.577246283
M. Richmond,196,45,1728,28,21.9,4.9,3.4,47.4,84.5,0.5703125
C. Drexler,201,49,1671,31,19.9,5.7,6.3,42.9,83.9,0.583542789
J. Hornacek,193,79,2860,30,19.1,6.9,4.3,47,86.5,0.527587413
H. Hawkins,191,81,2977,27,20.3,3.9,4.3,47,86,0.552334565
S. Skiles,185,79,3036,29,15.4,9.4,3.7,46.7,89.2,0.400724638
S. Smith,203,48,1610,24,16,5.6,4.1,45.1,78.7,0.477018634
M. Williams,188,76,2661,27,15.1,8.7,3.6,44.6,90.7,0.431266441
R. Harper,198,81,2970,29,18,4.5,5.3,45.1,76.9,0.490909091
M. Abdul-Rauf,185,80,2710,24,19.2,4.2,2.8,45,93.5,0.566789668
T. Porter,191,81,2883,30,18.2,5.2,3.9,45.4,84.3,0.511342352
M. Jackson,191,82,3117,28,14.4,8.8,4.7,48.6,80.3,0.378825794
J. Malone,193,79,2558,32,18.1,1.6,2.2,49.4,85.2,0.5589914
K. Gill,196,69,2430,25,16.9,3.9,4.9,44.9,77.2,0.479876543
M. Price,183,75,2380,29,18.2,8,2.7,48.4,94.8,0.573529412
R. Pierce,193,77,2218,34,18.2,2.9,2.5,48.9,88.9,0.631830478
L. Sprewell,196,77,2741,23,15.4,3.8,3.5,46.4,74.6,0.432615834
S. Threatt,188,82,2893,32,15.1,6.9,3.3,50.8,82.3,0.427998617
K. Smith,191,82,2422,28,13,5.4,2,52,87.8,0.440132122
J. Starks,196,79,2477,28,17.5,5.1,2.6,42.8,79.5,0.558134841
J. Jackson,198,28,938,23,16.3,4.7,4.4,39.5,73.9,0.486567164
D. Harper,193,61,2108,32,18.2,5.4,2,41.9,75.6,0.526660342
T. Hardaway,183,66,2609,27,21.5,10.6,4,44.7,77.4,0.543886547
D. Ainge,196,81,2163,34,11.8,3.3,2.7,46.2,84.8,0.441886269
B. J. Armstrong,188,81,2492,26,12.3,4,1.8,49.9,86.1,0.399799358
G. Wilkins,198,81,2079,30,11.1,2.3,2.7,45.3,84,0.432467532
M. Adams,178,69,2499,30,14.8,7.5,3.4,43.9,85.6,0.408643457
K. Anderson,185,55,2010,23,16.9,8.2,4.1,43.5,77.6,0.462437811
J. Stockton,185,82,2863,31,15.1,12,2.9,48.6,79.8,0.432483409
K. Edwards,191,40,1134,28,13.9,3,3,46.8,84.4,0.490299824
K. Johnson,185,49,1643,27,16.1,7.8,2.1,49.9,81.9,0.480158247
G. Payton,193,82,2548,25,13.5,4.9,3.4,49.4,77,0.434458399
I. Thomas,185,80,2922,32,17.6,8.5,2.9,41.8,73.7,0.481861739
S. Marciulionis,196,30,836,29,17.4,3.5,3.2,54.3,76.1,0.624401914
R. Blackman,198,59,1434,34,9.7,2.6,1.7,44.3,78.9,0.399093445
V. Maxwell,193,72,2251,28,13.8,4.2,3.1,40.7,71.9,0.441403821
B. Smith,196,39,865,23,8.9,1.3,3.2,44.6,83.2,0.401271676
M. Blaylock,185,80,2820,26,13.4,8.4,3.5,42.9,72.8,0.380141844
A. Bowie,198,77,1761,30,8,2.3,2.5,47.1,79.8,0.349801249
D. Rivers,193,77,1886,32,7.8,5.3,2.5,43.7,82.1,0.31845175
B. Shaw,198,68,1603,27,7.3,3.5,3.8,39.3,78.2,0.30966937
R. Strickland,191,78,2474,27,13.7,7.2,4.3,48.5,71.7,0.431932094
