구분,제작국(수정),제목,등급,주제,선정성,폭력성,공포,약물,대사.지속성등.,모방위협
국내영화,한국,이웃집남자,청소년관람불가,4,4,3,2,1,4,4
국내영화,한국,사사건건,청소년관람불가,3,4,4,3,1,3,3
국내영화,한국,의형제,15세이상관람가,3,1,3,2,1,3,3
국내영화,한국,아빠가여자를좋아해,12세이상관람가,2,1,2,1,1,2,2
국내영화,한국,웨딩드레스,전체관람가,1,1,1,1,1,1,1
국내영화,한국,주유소습격사건2,15세이상관람가,3,1,3,2,1,3,3
국내영화,한국,바람-감독판,15세이상관람가,3,1,3,2,3,3,3
국내영화,한국,친구사이?,청소년관람불가,3,4,1,1,1,2,3
국내영화,한국,용서는없다,청소년관람불가,4,4,4,3,1,4,4
국내영화,한국,걸프렌즈,15세이상관람가,3,3,2,1,1,3,2
국내영화,한국,올웨이스비보이,12세이상관람가,2,2,1,1,2,2,2
국내영화,한국,저달이차기전에,15세이상관람가,3,1,3,3,1,3,2
국내영화,한국,시크릿,청소년관람불가,4,3,4,4,3,4,4
국내영화,한국,여배우들,12세이상관람가,2,1,1,1,1,1,1
국내영화,한국,비상,청소년관람불가,4,2,4,2,3,4,4
국내영화,한국,나는곤경에처했다!,청소년관람불가,4,4,3,2,2,3,3
국내영화,한국,너와나의21세기,15세이상관람가,3,2,2,2,3,2,3
국내영화,한국,로망은없다,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,여자없는세상,청소년관람불가,4,4,3,1,2,4,3
국내영화,한국,전우치,12세이상관람가,2,2,2,2,1,2,1
국내영화,한국,시간의춤,전체관람가,1,1,1,1,1,1,1
국내영화,한국,결혼식후에,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,돌멩이의꿈,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,파라다이스,12세이상관람가,2,1,2,2,1,2,2
국내영화,한국,바람,청소년관람불가,4,1,4,2,3,4,4
국내영화,한국,트라이앵글,전체관람가,1,1,1,1,1,1,1
국내영화,한국,홍길동의후예,12세이상관람가,2,2,2,1,2,2,2
국내영화,한국,약수터부르스,15세이상관람가,2,1,2,1,1,3,3
국내영화,한국,친구사이?- 에피소드1,청소년관람불가,3,4,1,1,1,1,4
국내영화,한국,기죽지마라,전체관람가,1,1,1,1,1,1,1
국내영화,한국,19,12세이상관람가,2,2,2,1,1,2,2
국내영화,한국,천국의우편배달부,전체관람가,1,1,1,1,1,1,1
국내영화,한국,나는행복합니다,15세이상관람가,3,2,3,2,2,3,3
국내영화,한국,백야행,청소년관람불가,4,4,4,2,2,4,4
국내영화,한국,내눈에콩깍지,12세이상관람가,2,2,1,1,1,2,2
국내영화,한국,펜트하우스코끼리,청소년관람불가,4,4,4,4,4,4,4
국내영화,한국,오디션,전체관람가,1,1,1,1,1,1,1
국내영화,한국,좋아서만든영화,전체관람가,1,1,1,1,1,1,1
국내영화,한국,청담보살,15세이상관람가,3,3,2,1,2,3,2
국내영화,한국,페어러브,12세이상관람가,2,1,1,1,1,2,1
국내영화,한국,킬미,청소년관람불가,4,2,4,2,2,4,3
국내영화,한국,파주,청소년관람불가,4,4,4,3,2,3,3
국내영화,한국,굿모닝프레지던트,전체관람가,1,1,1,1,1,1,1
국내영화,한국,집행자,청소년관람불가,4,3,4,4,2,4,4
국내영화,한국,낙타는말했다,청소년관람불가,4,4,4,1,4,4,4
국내영화,한국,저녁의게임,청소년관람불가,4,4,3,2,1,4,4
국내영화,한국,토끼와리저드,12세이상관람가,2,1,1,1,2,2,2
국내영화,한국,정승필실종사건,15세이상관람가,3,3,3,2,2,3,2
국내영화,한국,북극의눈물,전체관람가,1,1,1,1,1,1,1
국내영화,한국,귀향,청소년관람불가,4,2,3,3,3,3,3
국내영화,한국,굿모닝프레지던트(DB),전체관람가,1,1,1,1,1,1,1
국내영화,한국,부산,청소년관람불가,4,4,4,3,2,4,4
국내영화,한국,나는갈매기,전체관람가,1,1,1,1,1,1,1
국내영화,한국,내사랑내곁에,12세이상관람가,2,2,1,1,1,2,1
국내영화,한국,샘터분식,전체관람가,1,1,1,1,1,1,1
국내영화,한국,호우시절,15세이상관람가,3,2,1,1,1,2,2
국내영화,한국,불꽃처럼나비처럼,15세이상관람가,3,3,3,2,1,2,1
국내영화,한국,정승필실종사건(DB),15세이상관람가,3,3,3,2,2,3,2
국내영화,한국,어떤방문,15세이상관람가,3,3,3,2,2,3,2
국내영화,한국,국가대표/TAKE-OFF,12세이상관람가,1,2,2,1,2,2,1
국내영화,한국,라라선샤인,15세이상관람가,3,3,3,3,1,3,2
국내영화,한국,애자,15세이상관람가,2,2,2,2,2,3,3
국내영화,한국,하늘과바다,12세이상관람가,1,1,1,1,1,2,2
국내영화,한국,이태원살인사건,15세이상관람가,3,1,3,2,2,2,3
국내영화,한국,불꽃처럼나비처럼(DB),15세이상관람가,3,3,3,2,1,2,1
국내영화,한국,핑크토끼,15세이상관람가,3,2,2,1,1,3,3
국내영화,한국,애자(DB),15세이상관람가,2,2,2,2,2,3,3
국내영화,한국,지구에서사는법,15세이상관람가,3,3,3,2,1,3,1
국내영화,한국,황금시대,15세이상관람가,3,2,3,2,2,2,2
국내영화,한국,요가학원,15세이상관람가,3,1,3,3,1,2,2
국내영화,한국,나무없는산,전체관람가,1,1,1,1,1,1,1
국내영화,한국,4교시추리영역,15세이상관람가,3,2,3,3,1,3,3
국내영화,한국,마녀의관,청소년관람불가,4,3,4,3,2,3,3
국내영화,한국,요가학원(DB),15세이상관람가,3,1,3,3,1,2,2
국내영화,한국,국가대표,12세이상관람가,1,2,2,1,2,2,1
국내영화,한국,불신지옥,15세이상관람가,3,1,3,3,1,3,2
국내영화,한국,10억,15세이상관람가,3,2,3,3,1,3,3
국내영화,한국,도깨비불,전체관람가,1,1,1,1,1,1,1
국내영화,한국,고갈,청소년관람불가,4,4,4,4,3,4,4
국내영화,한국,독,15세이상관람가,3,1,3,3,2,3,2
국내영화,한국,"날아라,펭귄",전체관람가,1,1,1,1,1,1,1
국내영화,한국,도시락,청소년관람불가,3,1,4,3,2,3,3
국내영화,한국,의리적무투,15세이상관람가,2,1,3,2,2,2,1
국내영화,한국,차우,12세이상관람가,2,1,2,2,2,2,1
국내영화,한국,국가대표(DB),12세이상관람가,1,2,2,1,2,2,1
국내영화,한국,여행자,12세이상관람가,2,1,2,1,1,1,1
국내영화,한국,죽기전에해야할몇가지것들,12세이상관람가,2,1,1,1,2,2,2
국내영화,한국,해운대,12세이상관람가,1,2,2,2,2,2,1
국내영화,한국,헬로우마이러브,15세이상관람가,3,3,2,1,1,3,3
국내영화,한국,오감도,청소년관람불가,4,4,3,3,2,4,4
국내영화,한국,여고괴담5(동반자살),15세이상관람가,3,3,3,3,2,3,3
국내영화,한국,딱정벌레,15세이상관람가,3,3,1,2,2,3,2
국내영화,한국,말보로전쟁,청소년관람불가,3,3,4,2,4,4,4
국내영화,한국,보통소년,청소년관람불가,4,2,4,3,3,3,4
국내영화,한국,사람을찾습니다,청소년관람불가,4,4,4,3,2,4,4
국내영화,한국,삼거리무스탕소년의최후,청소년관람불가,4,4,4,4,3,4,3
국내영화,한국,세리와하르,12세이상관람가,2,1,2,1,1,2,2
국내영화,기타,아메리칸좀비,15세이상관람가,3,2,3,3,2,3,3
국내영화,한국,아부지,12세이상관람가,2,1,1,1,1,2,2
국내영화,한국,반두비(BANDHOBI),청소년관람불가,3,3,2,1,1,3,4
국내영화,한국,킹콩을들다,전체관람가,1,1,1,1,1,1,1
국내영화,한국,"히말라야,바람이 머무는곳",12세이상관람가,2,2,2,1,1,1,1
국내영화,한국,약탈자들,15세이상관람가,3,3,3,3,3,3,3
국내영화,한국,거북이달린다,15세이상관람가,3,3,3,2,2,3,3
