"","location","branch","address","phone","time"
"1","경기 용인시","용인신동백점","경기 용인시 기흥구 동백죽전대로527번길 100...","","09:00~22:00"
"2","경기 고양시","고양내유점","경기 고양시 덕양구 통일로 1072 (내유동)","","09:00~22:00"
"3","경기 안산시","안산본오중앙점","경기 안산시 상록구 각골로 63 (본오동)","","09:00~21:00"
"4","경기 의정부시","경기도청북부청사점","경기 의정부시 장곡로596번길 9 (신곡동)","","08:00~22:30"
"5","경남 거제시","거제장평점","경남 거제시 장평로 20 (장평동)","","09:00~21:00"
"6","인천 남구","인하공전점","인천 남구 소성로 81 (학익동)","","09:00~22:00"
"7","경남 김해시","김해율하카페거리점","경남 김해시 율하3로91번길 42-2 (관동동)","","09:00~22:00"
"8","경기 시흥시","시흥배곧타운점","경기 시흥시 배곧4로 22 (정왕동)","","09:00~22:00"
"9","대구 중구","대구중구청점","대구 중구 국채보상로 694 (동인동2가)","","09:00~22:00"
"10","서울 강서구","방화동로점","서울 강서구 방화동로 95 (방화동)","","09:00~22:00"
"11","서울 성동구","응봉동점","","","09:00~22:00"
"12","울산 북구","울산달천점","울산 북구 가재길 14 (천곡동)","052-292-5515","09:00~24:00"
"13","경기 부천시","부천소사점","경기 부천시 소사로 214 (소사본동)","","09:00~22:00"
"14","경기 수원시","수원아이파크몰점","경기 수원시 권선구 동수원로177번길 90 (권...","","09:00~22:00"
"15","충북 청주시","청주금천점","충북 청주시 상당구 중고개로 333 (금천동)","","09:00~22:00"
"16","경기 의왕시","의왕내손점","경기 의왕시 포일로 43 (내손동)","","09:00~22:00"
"17","서울 강남구","역삼점","서울 강남구 논현로72길 13 (역삼동)","","09:00~09:00"
"18","서울 서초구","신논현역점","서울 서초구 강남대로79길 10 (반포동)","","09:00~22:00"
"19","서울 강남구","건설회관점","서울 강남구 언주로 711 (논현동)","","09:00~22:00"
"20","강원 양양군","강원양양점","강원 양양군 양양읍 양양로 72","033-672-4321","09:00~22:00"
"21","경북 구미시","구미금오산점","경북 구미시 금오산로 180 (남통동)","","09:00~22:00"
"22","울산 남구","울산달동사거리점","울산 남구 중앙로 149 (신정동)","","09:00~22:00"
"23","인천 서구","인천경서점","인천 서구 도요지로 24 (경서동)","","09:00~22:00"
"24","서울 노원구","하계을지점","서울 노원구 공릉로 326 (하계동)","","09:00~22:00"
"25","부산 금정구","부산장전서희점","부산 금정구 수림로20번길 27 (부곡동)","","09:00~21:30주말 및 공휴일에도 동일합니다."
"26","인천 남동구","인천만수역점","인천 남동구 구월로 350 (만수동)","032-471-0953","08:00~24:00"
"27","서울 은평구","구산사거리점","서울 은평구 서오릉로 195 (구산동)","02-0000-0000","08:00~22:30"
"28","인천 옹진군","인천영흥도점","인천 옹진군 영흥면 영흥로 252","","09:00~22:00"
"29","제주특별자치도","제주송악산점","제주특별자치도 서귀포시 대정읍 최남단해안...","064-792-0941","09:00~19:00주말 및 공휴일 09:00 ~ 19:00"
"30","경기 수원시","수원오목천점","경기 수원시 권선구 삼천병마로1592번길 3-4 ...","","09:00~22:00"
"31","서울 중랑구","중랑교차로점","서울 중랑구 동일로 683 (면목동)","","09:00~22:00"
"32","서울 강동구","암사중앙점","서울 강동구 암사길 50 (암사동, 102동)","","09:00~22:00"
"33","경기 화성시","동탄프리미엄아울렛점","경기 화성시 동탄면 동탄기흥로257번가길 7","","09:00~22:00"
"34","서울 중구","다동점","서울 중구 다동길 46 (다동)","","09:00~22:00"
"35","대구 중구","대구MS재건병원점","대구 중구 동덕로 194 (동인동1가)","","09:00~22:00"
"36","서울 서대문구","가좌역점","서울 서대문구 수색로 32 (남가좌동)","","10:00~21:00"
"37","경기 남양주시","별내동부2호점","경기 남양주시 두물로39번길 25 (별내동)","","09:00~22:00"
"38","광주 서구","광주금호점","광주 서구 화개1로79번길 3 (금호동)","062-653-3125","09:00~23:00"
"39","서울 관악구","신림문화교점","서울 관악구 신림로 262-1 (신림동)","","09:00~22:00"
"40","충남 천안시","천안신불당점","충남 천안시 서북구 불당26로 100-20 (불당동)","","09:00~22:00"
"41","울산 북구","울산송정점","울산 북구 화산중앙로 94-5 (화봉동)","","09:00~23:00"
"42","경기 김포시","풍무역점","경기 김포시 장릉로 56 (풍무동, 김포길훈아...","010-1111-1111","09:00~22:00"
"43","경기 안산시","안산와동점","경기 안산시 단원구 와동로 44 (와동)","","10:00~23:00"
"44","서울 영등포구","신풍역점","서울 영등포구 신풍로 52-1 (신길동)","02-848-7885","09:00~22:00"
"45","부산 동래구","부산복천점","부산 동래구 복천로 8 (복천동)","051-556-6688","09:00~22:00주말 및 공휴일에도 동일합니다."
"46","경남 김해시","김해진영본산점","경남 김해시 진영읍 본산로 27-18","055-345-2231","10:00~23:00"
"47","서울 송파구","오금중앙점","서울 송파구 위례성대로22길 18 (오금동)","010-1111-1111","09:00~22:00"
"48","경기 평택시","평택비전중앙점","경기 평택시 중앙로 205 (비전동)","010-1111-1111","09:00~22:00"
"49","인천 부평구","인천백운역점","인천 부평구 이규보로 141 (십정동)","032-527-6876","08:00~24:00"
"50","서울 광진구","건대스타시티점","서울 광진구 아차산로 262 (자양동, 더샵스타...","02- 711-6677","10:00~22:00"
